gameid,side,teamname,teamid,result,firstblood,team kpm,firstdragon,firstherald,firstbaron,firsttower
LOLTMNT02_43453,Red,Dignitas,oe:team:0dbb780176ecad18f17292d1f5653af,1,0.0,0.4329,0.0,1.0,1.0,0.0
LOLTMNT02_43475,Blue,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,1,1.0,0.6218,0.0,0.0,1.0,0.0
LOLTMNT02_43475,Red,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,0,0.0,0.4041,1.0,1.0,0.0,1.0
LOLTMNT02_45623,Blue,Shopify Rebellion,oe:team:b360f1d729b0a8e0f29a5243c4200fa,1,1.0,0.7179,0.0,1.0,1.0,1.0
LOLTMNT02_45623,Red,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,0,0.0,0.2051,1.0,0.0,0.0,0.0
LOLTMNT02_43529,Blue,FlyQuest Challengers,oe:team:51d0aa927d8d8ce1af41a5582770356,1,1.0,0.6705,0.0,0.0,0.0,1.0
LOLTMNT02_43529,Red,Wildcard Gaming,oe:team:9034597e77937456f89960ad1b8615e,0,0.0,0.3006,1.0,1.0,1.0,0.0
LOLTMNT02_45657,Blue,Wildcard Gaming,oe:team:9034597e77937456f89960ad1b8615e,1,1.0,0.6648,1.0,1.0,1.0,1.0
LOLTMNT02_45657,Red,FlyQuest Challengers,oe:team:51d0aa927d8d8ce1af41a5582770356,0,0.0,0.4274,0.0,0.0,0.0,0.0
LOLTMNT02_45667,Blue,Wildcard Gaming,oe:team:9034597e77937456f89960ad1b8615e,0,0.0,0.2746,1.0,0.0,0.0,0.0
LOLTMNT02_45667,Red,FlyQuest Challengers,oe:team:51d0aa927d8d8ce1af41a5582770356,1,1.0,0.9611,0.0,1.0,1.0,1.0
LOLTMNT02_43575,Blue,Mirage Alliance,oe:team:1d1d0b0c76290957c7c9aa69a3ae4e7,0,1.0,0.2761,0.0,0.0,0.0,0.0
LOLTMNT02_43575,Red,Maryville University,oe:team:9336ce46babf314b50e3a103506ae0a,1,0.0,0.6135,1.0,1.0,1.0,1.0
LOLTMNT02_45685,Blue,Mirage Alliance,oe:team:1d1d0b0c76290957c7c9aa69a3ae4e7,0,1.0,0.3263,0.0,1.0,0.0,1.0
LOLTMNT02_45685,Red,Maryville University,oe:team:9336ce46babf314b50e3a103506ae0a,1,0.0,0.5873,1.0,0.0,1.0,0.0
LOLTMNT01_53130,Blue,Burning Core Toyama,oe:team:73c73a123b43e071470729f74ef2022,0,1.0,0.2192,0.0,0.0,0.0,0.0
LOLTMNT01_53130,Red,Fukuoka SoftBank HAWKS gaming,oe:team:d8ca3fc1f0827ec76369af7b70d43e3,1,0.0,0.6212,1.0,1.0,1.0,1.0
LOLTMNT01_52912,Blue,Fukuoka SoftBank HAWKS gaming,oe:team:d8ca3fc1f0827ec76369af7b70d43e3,1,0.0,0.4213,0.0,1.0,1.0,0.0
LOLTMNT01_52912,Red,Burning Core Toyama,oe:team:73c73a123b43e071470729f74ef2022,0,1.0,0.3611,1.0,0.0,0.0,1.0
LOLTMNT01_52933,Blue,Sengoku Gaming,oe:team:345e0df57cf03f34fe5e509af96e7bd,1,0.0,0.3043,0.0,0.0,0.0,1.0
LOLTMNT01_52933,Red,V3 Esports,oe:team:af4b23d4634c4e6ecb5659fb1e689e9,0,1.0,0.5072,1.0,1.0,1.0,0.0
LOLTMNT01_52947,Blue,V3 Esports,oe:team:af4b23d4634c4e6ecb5659fb1e689e9,1,1.0,0.6676,0.0,1.0,1.0,1.0
LOLTMNT01_52947,Red,Sengoku Gaming,oe:team:345e0df57cf03f34fe5e509af96e7bd,0,0.0,0.0834,1.0,0.0,0.0,0.0
LOLTMNT01_52973,Blue,AXIZ CREST,oe:team:2b308998f2c7033f864caf1d5cc9dc0,0,1.0,0.1632,0.0,0.0,0.0,1.0
LOLTMNT01_52973,Red,DetonatioN FocusMe,oe:team:e435aa3ecb82a89e60544f5f5857a81,1,0.0,0.4487,1.0,1.0,1.0,0.0
LOLTMNT01_54009,Blue,DetonatioN FocusMe,oe:team:e435aa3ecb82a89e60544f5f5857a81,1,1.0,0.7025,1.0,0.0,1.0,1.0
LOLTMNT01_54009,Red,AXIZ CREST,oe:team:2b308998f2c7033f864caf1d5cc9dc0,0,0.0,0.5428,0.0,1.0,0.0,0.0
LOLTMNT04_26326,Blue,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,0.0,0.2568,0.0,0.0,1.0,1.0
LOLTMNT04_26326,Red,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,1.0,0.2282,1.0,1.0,0.0,0.0
LOLTMNT01_54118,Blue,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,1,1.0,0.9139,0.0,1.0,1.0,1.0
LOLTMNT01_54118,Red,Vivo Keyd Stars,oe:team:b9e44c69c1a70fb35df9be96f9eafea,0,0.0,0.2109,1.0,0.0,0.0,0.0
LOLTMNT04_26332,Blue,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,1.0,0.316,1.0,0.0,0.0,1.0
LOLTMNT04_26332,Red,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,0.0,0.5371,0.0,1.0,1.0,0.0
LOLTMNT01_53375,Blue,FURIA,oe:team:87e3e1e75839f75a10bbc66e894d806,0,1.0,0.3118,0.0,1.0,0.0,1.0
LOLTMNT01_53375,Red,KaBuM! Esports,oe:team:86e551648da70c86cb473ce5d5f26f7,1,0.0,0.6236,1.0,0.0,1.0,0.0
LOLTMNT04_27329,Blue,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,1.0,0.9452,0.0,0.0,1.0,1.0
LOLTMNT04_27329,Red,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,0.0,0.3501,1.0,1.0,0.0,0.0
LOLTMNT01_53418,Blue,RED Canids,oe:team:67169969ecc058b307edfa9c6b7a3c0,1,0.0,0.5576,1.0,0.0,1.0,1.0
LOLTMNT01_53418,Red,Liberty,oe:team:84e1da9e55480128662cfdfe79cb892,0,1.0,0.2974,0.0,1.0,0.0,0.0
LOLTMNT01_54252,Blue,Fluxo,oe:team:ca3882dbcefa68eac0892e3218080db,1,1.0,0.5556,1.0,1.0,1.0,1.0
LOLTMNT01_54252,Red,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,0,0.0,0.0654,0.0,0.0,0.0,0.0
LOLTMNT01_53481,Blue,Los Grandes,oe:team:ca884c91b35e5e37937b19360cf1bbe,1,1.0,0.4373,0.0,0.0,1.0,1.0
LOLTMNT01_53481,Red,LOUD,oe:team:658a021a796aa5501503220adb38cf4,0,0.0,0.1749,1.0,1.0,0.0,0.0
LOLTMNT02_45768,Blue,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,1,1.0,0.4564,1.0,1.0,0.0,1.0
LOLTMNT02_45768,Red,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,0,0.0,0.4781,0.0,0.0,1.0,0.0
LOLTMNT02_43642,Blue,Dignitas,oe:team:0dbb780176ecad18f17292d1f5653af,1,1.0,0.5192,1.0,1.0,1.0,1.0
LOLTMNT02_43642,Red,NRG,oe:team:e758ebe9a5a2cc81b9c8078479c2d87,0,0.0,0.1483,0.0,0.0,0.0,0.0
LOLTMNT02_43652,Blue,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,1,0.0,0.6061,1.0,1.0,1.0,1.0
LOLTMNT02_43652,Red,Shopify Rebellion,oe:team:b360f1d729b0a8e0f29a5243c4200fa,0,1.0,0.1136,0.0,0.0,0.0,0.0
LOLTMNT02_45820,Blue,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,1,1.0,0.5391,1.0,1.0,1.0,1.0
LOLTMNT02_45820,Red,Immortals,oe:team:c334c629fea759876e9e04afbe4aee7,0,0.0,0.2537,0.0,0.0,0.0,0.0
LOLTMNT02_45836,Blue,Cincinnati Fear,oe:team:969667ee6e31f83d6da935558895498,1,1.0,0.4079,1.0,1.0,1.0,1.0
LOLTMNT02_45836,Red,LiT Esports,oe:team:7109f52153fb32f851ab4af575c272c,0,0.0,0.0941,0.0,0.0,0.0,0.0
LOLTMNT02_43680,Blue,LiT Esports,oe:team:7109f52153fb32f851ab4af575c272c,1,0.0,0.6084,0.0,1.0,1.0,1.0
LOLTMNT02_43680,Red,Cincinnati Fear,oe:team:969667ee6e31f83d6da935558895498,0,1.0,0.2662,1.0,0.0,0.0,0.0
LOLTMNT02_43684,Blue,LiT Esports,oe:team:7109f52153fb32f851ab4af575c272c,0,1.0,0.495,0.0,1.0,0.0,0.0
LOLTMNT02_43684,Red,Cincinnati Fear,oe:team:969667ee6e31f83d6da935558895498,1,0.0,0.6874,1.0,0.0,1.0,1.0
LOLTMNT02_43686,Blue,Area of Effect Esports,oe:team:f99374803c2802a727e34ba54af754d,1,1.0,0.4696,1.0,0.0,1.0,0.0
LOLTMNT02_43686,Red,Mirage Alliance,oe:team:1d1d0b0c76290957c7c9aa69a3ae4e7,0,0.0,0.313,0.0,1.0,0.0,1.0
LOLTMNT02_43687,Blue,Mirage Alliance,oe:team:1d1d0b0c76290957c7c9aa69a3ae4e7,1,1.0,0.8244,1.0,0.0,1.0,0.0
LOLTMNT02_43687,Red,Area of Effect Esports,oe:team:f99374803c2802a727e34ba54af754d,0,0.0,0.3584,0.0,1.0,0.0,1.0
LOLTMNT02_43688,Blue,Area of Effect Esports,oe:team:f99374803c2802a727e34ba54af754d,0,1.0,0.1749,0.0,0.0,0.0,0.0
LOLTMNT02_43688,Red,Mirage Alliance,oe:team:1d1d0b0c76290957c7c9aa69a3ae4e7,1,0.0,0.8397,1.0,1.0,1.0,1.0
LOLTMNT01_54348,Blue,Kanga Esports,oe:team:40ca71047541a6edbbb6e29893f9058,1,1.0,0.4225,1.0,1.0,1.0,1.0
LOLTMNT01_54348,Red,MAMMOTH,oe:team:7bd8d762a338118fce3df129202eaed,0,0.0,0.4225,0.0,0.0,0.0,0.0
LOLTMNT01_54352,Blue,MAMMOTH,oe:team:7bd8d762a338118fce3df129202eaed,1,0.0,0.5369,0.0,1.0,1.0,1.0
LOLTMNT01_54352,Red,Kanga Esports,oe:team:40ca71047541a6edbbb6e29893f9058,0,1.0,0.4346,1.0,0.0,0.0,0.0
LOLTMNT01_53577,Blue,Antic Esports,oe:team:22fca4d0e6f23af1d0bfc7b3b4de18c,0,1.0,0.3877,1.0,1.0,0.0,1.0
LOLTMNT01_53577,Red,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,1,0.0,0.517,0.0,0.0,1.0,0.0
LOLTMNT01_54374,Blue,Antic Esports,oe:team:22fca4d0e6f23af1d0bfc7b3b4de18c,0,0.0,0.5272,0.0,0.0,0.0,0.0
LOLTMNT01_54374,Red,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,1,1.0,0.6063,1.0,1.0,1.0,1.0
LOLTMNT04_26359,Blue,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,0.0,0.9594,0.0,1.0,1.0,0.0
LOLTMNT04_26359,Red,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,1.0,0.5166,1.0,0.0,0.0,1.0
LOLTMNT04_26379,Blue,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,1.0,0.4786,0.0,0.0,1.0,1.0
LOLTMNT04_26379,Red,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,0.0,0.2991,1.0,1.0,0.0,0.0
LOLTMNT04_26385,Blue,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,0.0,0.6963,0.0,1.0,1.0,0.0
LOLTMNT04_26385,Red,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,0,1.0,0.3946,1.0,0.0,0.0,1.0
LOLTMNT01_54665,Blue,LOUD Academy,oe:team:611801d741d02f705ab3433a71ce43f,1,1.0,0.5914,0.0,1.0,1.0,1.0
LOLTMNT01_54665,Red,Fluxo Academy,oe:team:5ecdc5d869196e2d21f1491520820e1,0,0.0,0.345,1.0,0.0,0.0,0.0
LOLTMNT04_26398,Blue,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,0.0,0.4204,1.0,1.0,1.0,1.0
LOLTMNT04_26398,Red,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,0,1.0,0.2675,0.0,0.0,0.0,0.0
LOLTMNT04_27389,Blue,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,0,1.0,0.7742,0.0,1.0,1.0,0.0
LOLTMNT04_27389,Red,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,0.0,0.7444,1.0,0.0,0.0,1.0
LOLTMNT01_54710,Blue,FURIA Academy,oe:team:d135f5fc6f1ec50cda24bc7e5910f62,0,1.0,0.2681,0.0,0.0,0.0,0.0
LOLTMNT01_54710,Red,Vivo Keyd Stars Academy,oe:team:bf6f1cbd7a25bd88bbfdaf1c20366c1,1,0.0,0.4021,1.0,1.0,1.0,1.0
LOLTMNT01_54744,Blue,Fluxo Academy,oe:team:5ecdc5d869196e2d21f1491520820e1,1,0.0,0.5936,1.0,1.0,1.0,0.0
LOLTMNT01_54744,Red,Los Grandes Academy,oe:team:a93b0198b3f1062ca3302600b4f12ba,0,1.0,0.2968,0.0,0.0,0.0,1.0
LOLTMNT01_53977,Blue,KaBuM! Academy,oe:team:5fa7169f2a9ba7a17a9ce3afd59643d,0,1.0,0.4189,1.0,0.0,0.0,1.0
LOLTMNT01_53977,Red,paiN Gaming Academy,oe:team:3cb9dbe9618f5c61765f4ff189e79a9,1,0.0,0.6445,0.0,1.0,1.0,0.0
LOLTMNT01_54755,Blue,RED Academy,oe:team:391e50581a00cea9f06b2d845b4de05,0,0.0,0.4788,0.0,0.0,1.0,1.0
LOLTMNT01_54755,Red,Tropa XV,oe:team:66a8e70c9fbd43ee0a2efae9ae011de,1,1.0,0.6584,1.0,1.0,0.0,0.0
LOLTMNT01_53993,Blue,INTZ Academy,oe:team:532875bcf5a8fb1cd2f05cd0001bbf6,0,1.0,0.354,0.0,0.0,0.0,1.0
LOLTMNT01_53993,Red,Flamengo Academy,oe:team:13caf544e9d552f669c15d697f5e6b9,1,0.0,0.5563,1.0,1.0,1.0,0.0
LOLTMNT01_55058,Blue,Ground Zero Gaming,oe:team:788115a84f68bc65fa6d3a4e0f67a3e,1,0.0,0.6911,1.0,0.0,1.0,1.0
LOLTMNT01_55058,Red,FURY Global,oe:team:6b379ef5d9ba6269ee1ec9e37f54cb7,0,1.0,0.2846,0.0,1.0,0.0,0.0
LOLTMNT01_54835,Blue,FURY Global,oe:team:6b379ef5d9ba6269ee1ec9e37f54cb7,0,1.0,0.756,0.0,1.0,1.0,0.0
LOLTMNT01_54835,Red,Ground Zero Gaming,oe:team:788115a84f68bc65fa6d3a4e0f67a3e,1,0.0,0.882,1.0,0.0,0.0,1.0
LOLTMNT01_55097,Blue,Kanga Esports,oe:team:40ca71047541a6edbbb6e29893f9058,0,1.0,0.1951,0.0,0.0,0.0,0.0
LOLTMNT01_55097,Red,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,1,0.0,0.7412,1.0,1.0,1.0,1.0
LOLTMNT01_55111,Blue,Kanga Esports,oe:team:40ca71047541a6edbbb6e29893f9058,0,1.0,0.3204,0.0,0.0,0.0,0.0
LOLTMNT01_55111,Red,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,1,0.0,0.9611,1.0,1.0,1.0,1.0
LOLTMNT01_56047,Blue,Team UNiTY,oe:team:6e322bda09963acbe90845ce95e76f4,1,0.0,0.7708,1.0,1.0,1.0,1.0
LOLTMNT01_56047,Red,Dynamo Eclot,oe:team:e3f89acb10ecd65327fa954ff2ec047,0,1.0,0.2434,0.0,0.0,0.0,0.0
LOLTMNT01_56080,Blue,OGC Sigma Esports,oe:team:df3a003b928fe81923968edd1e34644,1,0.0,0.7602,0.0,1.0,0.0,0.0
LOLTMNT01_56080,Red,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,0,1.0,0.3379,1.0,0.0,1.0,1.0
LOLTMNT04_26444,Blue,Back2TheGame,oe:team:544b70d08c7df83ccb74d08a677b902,1,1.0,0.3775,0.0,1.0,0.0,0.0
LOLTMNT04_26444,Red,devils.one,oe:team:f27741afb3044c971eeced9d0c2daa1,0,0.0,0.2323,1.0,0.0,1.0,1.0
LOLTMNT01_56111,Blue,Wild Panthers Esports,oe:team:aba8187a8c4790f554138cda083003b,0,0.0,0.352,1.0,1.0,1.0,1.0
LOLTMNT01_56111,Red,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,1,1.0,0.3791,0.0,0.0,0.0,0.0
LOLTMNT01_55377,Blue,Entropiq,oe:team:06554c70cfe8a6be14b004b3c18abe6,1,1.0,0.7087,0.0,1.0,1.0,1.0
LOLTMNT01_55377,Red,BRUTE,oe:team:ddb6aa775eebeffd5cc41ba5c35c6a1,0,0.0,0.2362,1.0,0.0,0.0,0.0
LOLTMNT01_56166,Blue,Myth Esports,oe:team:04bb54d81b8d6daaaf0eee289e9eb03,1,1.0,0.4582,0.0,0.0,0.0,1.0
LOLTMNT01_56166,Red,Dynasty,oe:team:5c1d767e4c02111f0def3b6691b4851,0,0.0,0.3055,1.0,1.0,1.0,0.0
LOLTMNT04_27436,Blue,Orbit Anonymo Esports,oe:team:f9f16e15a84c85d050aa09b4a21c757,1,1.0,0.5651,1.0,0.0,0.0,0.0
LOLTMNT04_27436,Red,Zero Tenacity,oe:team:125fc4d6b0dc1b21596f4f06a207d62,0,0.0,0.3931,0.0,1.0,1.0,1.0
LOLTMNT01_56178,Blue,Anorthosis Famagusta Esports,oe:team:5f1bc4a914b49c7b7ff4c2f1b8d8df9,1,1.0,1.1046,1.0,1.0,0.0,1.0
LOLTMNT01_56178,Red,Zerolag Esports,oe:team:6a68fff9fc521e2fbcab2fc19978d24,0,0.0,0.1506,0.0,0.0,0.0,0.0
LOLTMNT01_55423,Blue,Europe Saviors Club,oe:team:e1a6907d696e9dab6cd3d954ac2aa76,0,1.0,0.4663,1.0,0.0,0.0,1.0
LOLTMNT01_55423,Red,eSuba,oe:team:3faefd9245a4ef6ba347fbcf2a51515,1,0.0,0.2755,0.0,1.0,1.0,0.0
LOLTMNT01_55445,Blue,mCon esports,oe:team:ee662fa8580ced6fb87aa4ca5b1fe7b,1,0.0,0.597,1.0,1.0,1.0,1.0
LOLTMNT01_55445,Red,Once Upon A Team,oe:team:e1cbefa2c9766f5deaa96d958a31e89,0,1.0,0.398,0.0,0.0,0.0,0.0
LOLTMNT01_56222,Blue,Tropa XV,oe:team:66a8e70c9fbd43ee0a2efae9ae011de,0,0.0,0.1846,1.0,0.0,0.0,1.0
LOLTMNT01_56222,Red,LOUD Academy,oe:team:611801d741d02f705ab3433a71ce43f,1,1.0,0.4431,0.0,1.0,1.0,0.0
LOLTMNT01_56217,Blue,Team Mythic,oe:team:6e8a61d49c812c30858c7582d30db33,1,1.0,0.5449,0.0,0.0,1.0,0.0
LOLTMNT01_56217,Red,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,0,0.0,0.3155,1.0,1.0,0.0,1.0
LOLTMNT04_26471,Blue,GRP Esports,oe:team:2d038b581c7aa5565f197e93de4ff35,1,0.0,0.2582,0.0,1.0,0.0,0.0
LOLTMNT04_26471,Red,Team ESCA Gaming,oe:team:1158ec5b08f516ca81868bc48293989,0,1.0,0.1937,1.0,0.0,0.0,1.0
LOLTMNT01_56251,Blue,Fluxo Academy,oe:team:5ecdc5d869196e2d21f1491520820e1,0,0.0,0.0992,1.0,1.0,0.0,0.0
LOLTMNT01_56251,Red,RED Academy,oe:team:391e50581a00cea9f06b2d845b4de05,1,1.0,0.6281,0.0,0.0,1.0,1.0
LOLTMNT04_26481,Blue,Iron Wolves,oe:team:bc9bdf946d79f2f1f483b429a7dfffc,0,0.0,0.3748,0.0,0.0,0.0,0.0
LOLTMNT04_26481,Red,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,1,1.0,0.7496,1.0,1.0,1.0,1.0
LOLTMNT01_55477,Blue,Team Phantasma,oe:team:75a4d34e4afac036d164b0f1a580486,1,0.0,0.4748,1.0,0.0,1.0,1.0
LOLTMNT01_55477,Red,Gamespace Mediterranean College Esports,oe:team:4410ecf1b88f1316b6e6c110120c896,0,1.0,0.1696,0.0,1.0,0.0,0.0
LOLTMNT01_56275,Blue,paiN Gaming Academy,oe:team:3cb9dbe9618f5c61765f4ff189e79a9,1,0.0,0.2667,0.0,0.0,1.0,1.0
LOLTMNT01_56275,Red,FURIA Academy,oe:team:d135f5fc6f1ec50cda24bc7e5910f62,0,1.0,0.1867,1.0,1.0,0.0,0.0
LOLTMNT01_56297,Blue,ZennIT,oe:team:79fc65ce199f2e4fe97e277bdef6695,1,0.0,0.8278,0.0,1.0,1.0,1.0
LOLTMNT01_56297,Red,SNOOZE Esports,oe:team:d0cd5a00349efaf7a3b8df54e1357e2,0,1.0,0.3959,1.0,0.0,0.0,0.0
LOLTMNT01_56301,Blue,Flamengo Academy,oe:team:13caf544e9d552f669c15d697f5e6b9,1,0.0,0.5306,1.0,1.0,0.0,0.0
LOLTMNT01_56301,Red,Liberty Academy,oe:team:0de5bc0ac90e504b773c2d2d09edc81,0,1.0,0.4898,0.0,0.0,1.0,1.0
LOLTMNT02_46021,Blue,Leviatan,oe:team:53ef3d5a3ac5d88bc000eff7d87aeb3,0,1.0,0.2092,0.0,1.0,0.0,0.0
LOLTMNT02_46021,Red,Isurus,oe:team:5737b101780a9835142549164be1ac4,1,0.0,0.795,1.0,0.0,1.0,1.0
LOLTMNT01_56317,Blue,Los Grandes Academy,oe:team:a93b0198b3f1062ca3302600b4f12ba,0,1.0,0.3102,0.0,1.0,0.0,0.0
LOLTMNT01_56317,Red,KaBuM! Academy,oe:team:5fa7169f2a9ba7a17a9ce3afd59643d,1,0.0,0.4825,1.0,0.0,1.0,1.0
LOLTMNT02_43867,Blue,Isurus,oe:team:5737b101780a9835142549164be1ac4,1,1.0,0.5136,0.0,1.0,1.0,1.0
LOLTMNT02_43867,Red,Leviatan,oe:team:53ef3d5a3ac5d88bc000eff7d87aeb3,0,0.0,0.2853,1.0,0.0,0.0,0.0
LOLTMNT02_43876,Blue,INFINITY,oe:team:7e3dd5ff49e1a44784d225d2de40260,0,1.0,0.1916,0.0,0.0,0.0,0.0
LOLTMNT02_43876,Red,Estral Esports,oe:team:1c81857b6ce6a3c1cd9220fd97e077f,1,0.0,0.728,1.0,1.0,1.0,1.0
LOLTMNT02_46046,Blue,INFINITY,oe:team:7e3dd5ff49e1a44784d225d2de40260,0,0.0,0.2589,0.0,0.0,0.0,0.0
LOLTMNT02_46046,Red,Estral Esports,oe:team:1c81857b6ce6a3c1cd9220fd97e077f,1,1.0,0.5179,1.0,1.0,1.0,1.0
LOLTMNT01_55616,Blue,Antic Esports,oe:team:22fca4d0e6f23af1d0bfc7b3b4de18c,1,0.0,0.599,1.0,1.0,1.0,1.0
LOLTMNT01_55616,Red,ION Global Esports,oe:team:788b5f2d3941c1a0d7961eaf043e4f1,0,1.0,0.2662,0.0,0.0,0.0,0.0
LOLTMNT01_56424,Blue,Antic Esports,oe:team:22fca4d0e6f23af1d0bfc7b3b4de18c,1,1.0,0.462,0.0,0.0,1.0,1.0
LOLTMNT01_56424,Red,ION Global Esports,oe:team:788b5f2d3941c1a0d7961eaf043e4f1,0,0.0,0.4042,1.0,1.0,0.0,0.0
LOLTMNT01_55642,Blue,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1,1.0,0.7139,1.0,0.0,1.0,0.0
LOLTMNT01_55642,Red,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,0,0.0,0.3414,0.0,1.0,0.0,1.0
LOLTMNT01_56440,Blue,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,0,0.0,0.1692,0.0,0.0,0.0,0.0
LOLTMNT01_56440,Red,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1,1.0,0.5076,1.0,1.0,1.0,1.0
LOLTMNT01_56443,Blue,MAMMOTH,oe:team:7bd8d762a338118fce3df129202eaed,1,1.0,0.8034,1.0,1.0,1.0,1.0
LOLTMNT01_56443,Red,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,0,0.0,0.3652,0.0,0.0,0.0,0.0
LOLTMNT01_56450,Blue,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,1,0.0,0.7876,0.0,1.0,1.0,1.0
LOLTMNT01_56450,Red,MAMMOTH,oe:team:7bd8d762a338118fce3df129202eaed,0,1.0,0.3222,1.0,0.0,0.0,0.0
LOLTMNT01_55683,Blue,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0,1.0,0.1199,0.0,1.0,0.0,0.0
LOLTMNT01_55683,Red,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,1,0.0,0.6294,1.0,0.0,1.0,1.0
LOLTMNT01_55709,Blue,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0,1.0,0.1199,1.0,1.0,0.0,1.0
LOLTMNT01_55709,Red,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,1,0.0,0.4075,0.0,0.0,1.0,0.0
LOLTMNT04_27484,Blue,BoostGate Esports,oe:team:331c852427c61f82050b618c2b442c4,1,0.0,0.3094,0.0,0.0,1.0,1.0
LOLTMNT04_27484,Red,Misa Esports,oe:team:196ea640b81c54e20e32b6294ab9769,0,1.0,0.4199,1.0,1.0,0.0,0.0
LOLTMNT04_26524,Blue,Zero Tenacity,oe:team:125fc4d6b0dc1b21596f4f06a207d62,1,0.0,0.5928,1.0,1.0,1.0,1.0
LOLTMNT04_26524,Red,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,0,1.0,0.1976,0.0,0.0,0.0,0.0
LOLTMNT01_55831,Blue,Guasones,oe:team:91c35185025768de7d8aa448933f56c,1,0.0,0.673,1.0,1.0,0.0,0.0
LOLTMNT01_55831,Red,Ramboot Club,oe:team:d17ce7a4192b52f8e1daf94c381c75f,0,1.0,0.4736,0.0,0.0,1.0,1.0
LOLTMNT01_55830,Blue,Zerolag Esports,oe:team:6a68fff9fc521e2fbcab2fc19978d24,0,1.0,0.305,1.0,1.0,0.0,0.0
LOLTMNT01_55830,Red,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,1,0.0,0.7931,0.0,0.0,1.0,1.0
LOLTMNT04_27494,Blue,SK Gaming Prime,oe:team:aa8c3b781d96ddb7a24ab3240918988,1,0.0,0.7463,0.0,1.0,1.0,0.0
LOLTMNT04_27494,Red,MOUZ NXT,oe:team:7c4854374e4daa6b00206eb922359a9,0,1.0,0.3894,1.0,0.0,0.0,1.0
LOLTMNT04_26526,Blue,DMG Esports,oe:team:147e28c0910250269fbc430f9f42010,0,0.0,0.2607,0.0,0.0,0.0,0.0
LOLTMNT04_26526,Red,Lundqvist Lightside,oe:team:91e745607dea86d98f6307553e0491d,1,1.0,0.9124,1.0,1.0,1.0,1.0
LOLTMNT04_27501,Blue,Aegis,oe:team:e3a29387c70230d76837b86c2aefd14,0,1.0,0.2581,1.0,0.0,0.0,1.0
LOLTMNT04_27501,Red,BK ROG Esports,oe:team:c40f6d0d20a7a718c60342e48c144a2,1,0.0,0.4458,0.0,1.0,1.0,0.0
LOLTMNT04_27499,Blue,Papara SuperMassive,oe:team:5203ff881d5c82c5f720eb3a2f3b44c,1,1.0,0.3812,1.0,1.0,1.0,1.0
