gameid,Bluetopgp,Bluetopwr,Bluetopkda,result,Redtopgp,Redtopwr,Redtopkda,Bluejngp,Bluejngwr,Bluejngkda,Redjnggp,Redjngwr,Redjngkda,Bluemidgp,Bluemidwr,Bluemidkda,Redmidgp,Redmidwr,Redmidkda,Bluebotgp,Bluebotwr,Bluebotkda,Redbotgp,Redbotwr,Redbotkda,Bluesupgp,Bluesupwr,Bluesupkda,Redsupgp,Redsupwr,Redsupkda
LOLTMNT02_69340,11.0,0.64,1.0,0.0,18.0,0.61,0.0,10.0,0.7,1.0,9.0,0.89,3.0,4.0,0.5,3.0,9.0,0.56,3.0,10.0,0.6,2.5,4.0,0.5,8.5,15.0,0.67,1.0,10.0,0.8,0.0
LOLTMNT02_69345,11.0,0.64,1.0,1.0,6.0,0.5,1.5,12.0,0.58,0.2,3.0,0.0,1.5,1.0,1.0,1.0,9.0,0.56,3.0,10.0,0.6,2.5,4.0,0.5,8.5,15.0,0.67,1.0,1.0,0.0,0.33
10942-10942_game_1,2.0,0.0,0.0,0.0,2.0,0.5,1.25,1.0,0.0,0.8,10.0,0.6,0.0,4.0,0.75,1.0,8.0,0.88,4.5,10.0,0.6,6.0,7.0,0.57,0.5,11.0,0.73,0.33,9.0,0.56,1.0
LOLTMNT02_69346,2.0,1.0,1.5,1.0,21.0,0.62,1.75,9.0,0.89,3.0,7.0,0.43,1.0,6.0,0.5,0.5,14.0,0.71,1.67,19.0,0.68,1.5,3.0,0.33,1.0,9.0,0.89,0.0,15.0,0.67,1.0
10942-10942_game_2,2.0,0.0,0.67,0.0,5.0,0.8,1.5,11.0,0.64,5.0,7.0,0.57,3.0,4.0,0.5,3.5,5.0,1.0,6.0,1.0,0.0,0.4,3.0,1.0,5.0,8.0,0.38,1.0,2.0,1.0,0.67
10947-10947_game_1,12.0,0.42,0.0,0.0,7.0,0.57,0.25,10.0,0.7,0.25,3.0,0.67,2.0,2.0,0.5,2.0,12.0,0.5,1.0,9.0,0.67,11.0,7.0,0.57,0.25,6.0,0.67,0.0,10.0,0.8,2.0
LOLTMNT02_69350,4.0,0.75,9.0,0.0,18.0,0.61,0.0,10.0,0.7,1.0,9.0,0.89,3.0,6.0,0.83,0.33,5.0,0.8,6.0,4.0,0.25,6.0,5.0,0.6,4.0,9.0,0.44,0.0,1.0,1.0,0.33
10942-10942_game_3,8.0,0.38,2.0,0.0,10.0,0.7,3.0,3.0,0.67,4.0,4.0,1.0,2.0,1.0,0.0,0.5,1.0,1.0,5.0,7.0,0.57,7.0,5.0,0.8,0.4,5.0,0.6,0.0,1.0,1.0,2.0
10947-10947_game_2,7.0,0.71,0.5,1.0,7.0,0.57,0.25,6.0,0.83,0.33,14.0,0.43,0.5,16.0,0.62,1.0,8.0,0.88,3.0,9.0,0.67,11.0,7.0,0.57,0.25,12.0,0.83,0.0,3.0,0.33,0.0
10947-10947_game_3,12.0,0.42,0.0,0.0,7.0,0.57,0.25,6.0,0.5,0.6,4.0,0.75,0.5,3.0,0.33,7.0,12.0,0.5,1.0,6.0,0.17,0.2,7.0,0.57,0.25,3.0,0.0,0.0,10.0,0.8,2.0
