gameid,side,position,teamname,teamid,result,firstblood,team kpm,firstdragon,firstherald,firstbaron,firsttower
LOLTMNT02_21514,Blue,team,UCAM Esports,oe:team:746e6715fc4295c54954be5efc385af,1,0.0,0.5553,1.0,1.0,1.0,1.0
LOLTMNT02_21514,Red,team,Guasones,oe:team:91c35185025768de7d8aa448933f56c,0,1.0,0.2524,0.0,0.0,0.0,0.0
LOLTMNT04_18202,Blue,team,Vitality.Bee,oe:team:ccd089bf173a5fff1063eb0576201a7,1,0.0,0.4523,0.0,0.0,1.0,1.0
LOLTMNT04_18202,Red,team,Team BDS Academy,oe:team:9adc852fe2e027c5e4abd53ae8915ff,0,1.0,0.2585,1.0,1.0,0.0,0.0
LOLTMNT05_11139,Blue,team,Unicorns of Love Sexy Edition,oe:team:6a060bd74c9041bf0aa89adf9d15d12,0,0.0,0.3785,1.0,1.0,1.0,1.0
LOLTMNT05_11139,Red,team,Eintracht Spandau,oe:team:980ab072663574c2e4fca71f275d302,1,1.0,0.3785,0.0,0.0,0.0,0.0
LOLTMNT04_18208,Blue,team,devils.one,oe:team:f27741afb3044c971eeced9d0c2daa1,1,1.0,0.5376,1.0,1.0,1.0,0.0
LOLTMNT04_18208,Red,team,Back2TheGame,oe:team:544b70d08c7df83ccb74d08a677b902,0,0.0,0.2987,0.0,0.0,0.0,1.0
LOLTMNT02_22535,Blue,team,Los Heretics,oe:team:2dfc66b98002c5afad2a98dbf86e350,1,1.0,0.2851,0.0,1.0,0.0,1.0
LOLTMNT02_22535,Red,team,GIANTX Pride,oe:team:1027c6e0b1984a79fdd7be04072b547,0,0.0,0.1555,1.0,0.0,1.0,0.0
LOLTMNT04_19139,Blue,team,Solary,oe:team:90938c428db11f6e372f5c6833b9743,0,1.0,0.2855,0.0,0.0,0.0,1.0
LOLTMNT04_19139,Red,team,Gentle Mates,oe:team:d2c27cb51cedbbac1752f1ec81addc4,1,0.0,0.5709,1.0,1.0,1.0,0.0
LOLTMNT05_11152,Blue,team,MOUZ NXT,oe:team:7c4854374e4daa6b00206eb922359a9,0,0.0,0.499,0.0,1.0,0.0,0.0
LOLTMNT05_11152,Red,team,E WIE EINFACH E-SPORTS,oe:team:26ff1a9f7fb8e976fbdcc5d2a8ac397,1,1.0,0.5301,1.0,0.0,1.0,1.0
LOLTMNT04_19142,Blue,team,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,0,1.0,0.4335,1.0,1.0,0.0,0.0
LOLTMNT04_19142,Red,team,Iron Wolves,oe:team:bc9bdf946d79f2f1f483b429a7dfffc,1,0.0,0.5202,0.0,0.0,1.0,1.0
LOLTMNT02_21552,Blue,team,ZETA,oe:team:50c26816bdd3bb2a02def8e11a5cd5a,0,1.0,0.4458,1.0,1.0,1.0,0.0
LOLTMNT02_21552,Red,team,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,1,0.0,0.4224,0.0,0.0,0.0,1.0
LOLTMNT04_18219,Blue,team,Team du Sud,oe:team:1dc6411295a36bd29c29b1096ba859d,0,1.0,0.3781,1.0,0.0,0.0,1.0
LOLTMNT04_18219,Red,team,GameWard,oe:team:312ee76ca74cbb5cb984d8b71ef4847,1,0.0,0.7271,0.0,1.0,1.0,0.0
LOLTMNT05_12149,Blue,team,Berlin International Gaming,oe:team:3de935df8f40fbb4d0e564d4a20e6cb,0,1.0,0.1282,0.0,1.0,1.0,0.0
LOLTMNT05_12149,Red,team,FC Schalke 04 Esports,oe:team:1d0f5e58f39613aff1a3dd4ed85933e,1,0.0,0.4103,1.0,0.0,0.0,1.0
LOLTMNT03_32323,Blue,team,Isurus,oe:team:5737b101780a9835142549164be1ac4,1,1.0,0.7781,1.0,1.0,1.0,1.0
LOLTMNT03_32323,Red,team,Leviatan,oe:team:53ef3d5a3ac5d88bc000eff7d87aeb3,0,0.0,0.2161,0.0,0.0,0.0,0.0
LOLTMNT03_31400,Blue,team,Isurus,oe:team:5737b101780a9835142549164be1ac4,1,0.0,0.647,0.0,1.0,1.0,0.0
LOLTMNT03_31400,Red,team,Leviatan,oe:team:53ef3d5a3ac5d88bc000eff7d87aeb3,0,1.0,0.4501,1.0,0.0,0.0,1.0
LOLTMNT03_32335,Blue,team,Six Karma,oe:team:3d3456d514814ba68c9532044bc50e2,0,0.0,0.2699,0.0,0.0,0.0,0.0
LOLTMNT03_32335,Red,team,Movistar R7,oe:team:2cb996a4b0ffaca3bcf66fe91450243,1,1.0,0.617,1.0,1.0,1.0,1.0
LOLTMNT03_32337,Blue,team,Movistar R7,oe:team:2cb996a4b0ffaca3bcf66fe91450243,1,1.0,0.8059,1.0,1.0,1.0,1.0
LOLTMNT03_32337,Red,team,Six Karma,oe:team:3d3456d514814ba68c9532044bc50e2,0,0.0,0.2821,0.0,0.0,0.0,0.0
LOLTMNT02_21624,Blue,team,OKSavingsBank BRION Challengers,oe:team:5d069a5aeb88f79b4b92dfa2b9f2a3c,1,1.0,0.5492,0.0,0.0,0.0,1.0
LOLTMNT02_21624,Red,team,FearX Youth,oe:team:1c549aec787136db0efdfac47eba51b,0,0.0,0.1373,1.0,1.0,0.0,0.0
LOLTMNT02_22621,Blue,team,Nongshim Esports Academy,oe:team:7c64febcd5ccff13dcd035dc6867a00,0,1.0,0.1837,0.0,0.0,0.0,0.0
LOLTMNT02_22621,Red,team,KT Rolster Challengers,oe:team:b9733b8e8aa341319bbaf1035198a28,1,0.0,0.5879,1.0,1.0,1.0,1.0
LOLTMNT02_21623,Blue,team,Gen.G Global Academy,oe:team:4c9dd0212552afe76315b616b7891f5,0,1.0,0.2448,0.0,1.0,0.0,0.0
